,question,cctrans.types,cctrans.extent,cctrans.transformation,cctrans.temporalEx
0,What is the slope in Utrecht,"[{'type': ['field'], 'id': '0', 'keyword': 'slope', 'measureLevel': 'ratio'}]",['Utrecht'],"[{'before': ['0'], 'after': ['0_u']}]",
1,What is the Euclidean distance to recreational sites in Utrecht,"[{'type': ['object'], 'id': '0', 'keyword': 'recreational sites'}, {'type': ['field'], 'id': '1', 'keyword': 'euclidean distance', 'measureLevel': 'ratio'}]",['Utrecht'],"[{'before': ['0'], 'after': ['1']}]",
2,What is the Euclidean distance to schools in Utrecht,"[{'type': ['object'], 'id': '0', 'keyword': 'schools'}, {'type': ['field'], 'id': '1', 'keyword': 'euclidean distance', 'measureLevel': 'ratio'}]",['Utrecht'],"[{'before': ['0'], 'after': ['1']}]",
3,What is the least cost route from school to the closest road intersection based on slope and land use in Utrecht,"[{'type': ['object'], 'id': '0', 'keyword': 'school'}, {'type': ['object'], 'id': '1', 'keyword': 'road intersection'}, {'type': ['field'], 'id': '2', 'keyword': 'slope'}, {'type': ['field'], 'id': '3', 'keyword': 'land use'}, {'type': ['field'], 'id': '4', 'keyword': 'least cost route', 'measureLevel': 'nominal'}, {'type': ['field'], 'id': '5', 'keyword': 'cost surface', 'measureLevel': 'ratio'}]",['Utrecht'],"[{'before': ['2', '3'], 'after': ['5']}, {'before': ['0', '1', '5'], 'after': ['4']}]",
4,What is the interpolated surface of ozone concentration in California,"[{'type': ['field'], 'id': '0', 'keyword': 'ozone concentration', 'measureLevel': 'ratio'}, {'type': ['field'], 'id': '1', 'keyword': 'interpolated surface', 'measureLevel': 'ratio'}]",['California'],"[{'before': ['0'], 'after': ['1']}]",
5,"What is the shortest network-based path through the Palace of Fine Arts, Ferry Building and de Young Meseum in San Francisco","[{'type': ['placename'], 'id': '0', 'keyword': 'Palace of Fine Arts'}, {'type': ['placename'], 'id': '1', 'keyword': 'Ferry Building'}, {'type': ['placename'], 'id': '2', 'keyword': 'de Young Meseum'}, {'type': ['network'], 'id': '3', 'keyword': 'shortest network based path'}]",['San Francisco'],"[{'before': ['0', '1', '2'], 'after': ['3']}]",
6,What are the four fire stations with shortest network-based paths to 1202 Twin Peaks Blvd in San Francisco,"[{'type': ['object'], 'id': '0', 'keyword': 'fire stations'}, {'type': ['placename'], 'id': '1', 'keyword': '1202 Twin Peaks Blvd'}, {'type': ['network'], 'id': '2', 'keyword': 'shortest network based paths'}, {'type': ['network', 'object'], 'id': '3', 'keyword': 'road data'}]",['San Francisco'],"[{'before': ['0', '1', '3'], 'after': ['2']}, {'before': ['2'], 'after': ['1_u']}]",
7,What are the four fire stations within 3 minutes of travel time from a fire in San Francisco,"[{'type': ['event'], 'id': '0', 'keyword': 'fire'}, {'type': ['network'], 'id': '1', 'keyword': 'travel time'}, {'type': ['serviceObj'], 'id': '2', 'keyword': ''}, {'type': ['network', 'object'], 'id': '3', 'keyword': 'road data'}, {'type': ['object'], 'id': '4', 'keyword': 'fire stations'}]",['San Francisco'],"[{'before': ['0', '3'], 'after': ['2']}, {'before': ['4', '2'], 'after': ['4_u']}]",
8,"What areas are within 3 minutes, 5 minutes, and 10 minutes from six warehouses in Paris","[{'type': ['object'], 'id': '0', 'keyword': 'warehouses'}, {'type': ['serviceObj'], 'id': '1', 'keyword': ''}, {'type': ['network', 'object'], 'id': '2', 'keyword': 'road data'}, {'type': ['location'], 'id': '3', 'keyword': ''}]",['Paris'],"[{'before': ['0', '2'], 'after': ['1']}, {'before': ['1'], 'after': ['3']}]",
9,What is the number of stores for each warehouse service area in Paris,"[{'type': ['object'], 'id': '0', 'keyword': 'warehouse service area'}, {'type': ['object'], 'id': '1', 'keyword': 'stores'}, {'type': ['conamount'], 'id': '2', 'keyword': 'number', 'measureLevel': 'count'}]",['Paris'],"[{'before': ['1', '0'], 'after': ['2']}]",
10,What is the delivery cost from warehouse to stores within 10 minute driving time in Paris,"[{'type': ['network'], 'id': '0', 'keyword': 'driving time'}, {'type': ['serviceObj'], 'id': '1', 'keyword': ''}, {'type': ['network', 'object'], 'id': '2', 'keyword': 'road data'}, {'type': ['object'], 'id': '3', 'keyword': 'warehouse'}, {'type': ['object'], 'id': '4', 'keyword': 'stores'}, {'type': ['network'], 'id': '5', 'keyword': 'delivery cost'}, {'type': ['network', 'object'], 'id': '6', 'keyword': 'road data'}]",['Paris'],"[{'before': ['3', '4', '2'], 'after': ['1']}, {'before': ['4', '1'], 'after': ['4_u']}, {'before': ['4_u', '3', '2'], 'after': ['5']}]",
11,What is the fastest delivery route through 21 stores in Paris,"[{'type': ['object'], 'id': '0', 'keyword': 'stores'}, {'type': ['network'], 'id': '1', 'keyword': 'delivery route'}, {'type': ['network', 'object'], 'id': '2', 'keyword': 'road data'}]",['Paris'],"[{'before': ['0', '2'], 'after': ['1']}]",
12,What are the fastest routes for three 15000-pound capacity trucks to meet the delivery demands of 25 grocery stores in Utrecht,"[{'type': ['network'], 'id': '0', 'keyword': 'fastest routes'}, {'type': ['network', 'object'], 'id': '1', 'keyword': 'road data'}, {'type': ['object'], 'id': '2', 'keyword': 'trucks'}, {'type': ['object'], 'id': '3', 'keyword': 'grocery stores'}]",['Utrecht'],"[{'before': ['3', '2', '1'], 'after': ['0']}]",
13,What are the fastest routes for three vans to transport customers from their homes to hospitals between 8 am to 10 am in Utrecht,"[{'type': ['network'], 'id': '0', 'keyword': 'fastest routes'}, {'type': ['network', 'object'], 'id': '1', 'keyword': 'road data'}, {'type': ['object'], 'id': '2', 'keyword': 'customers homes'}, {'type': ['object'], 'id': '3', 'keyword': 'hospitals'}, {'type': ['object'], 'id': '4', 'keyword': 'vans'}]",['Utrecht'],"[{'before': ['4', '3', '2', '1'], 'after': ['0']}]",
14,What are the three locations for new stores that maximize attendance in Utrecht,"[{'type': ['object'], 'id': '0', 'keyword': 'stores'}, {'type': ['objconamount'], 'id': '1', 'keyword': 'population', 'measureLevel': 'era'}, {'type': ['location'], 'id': '2', 'keyword': 'locations'}]",['Utrecht'],"[{'before': ['1', '0'], 'after': ['2']}]",
15,What are the three locations for new stores that maximize market share in Utrecht,"[{'type': ['object'], 'id': '0', 'keyword': 'stores'}, {'type': ['objconamount'], 'id': '1', 'keyword': 'population', 'measureLevel': 'era'}, {'type': ['location'], 'id': '2', 'keyword': 'locations'}]",['Utrecht'],"[{'before': ['1', '0'], 'after': ['2']}]",
16,Which fire station is the closest to each school in Utrecht,"[{'type': ['object'], 'id': '0', 'keyword': 'school'}, {'type': ['object'], 'id': '1', 'keyword': 'fire station'}]",['Utrecht'],"[{'before': ['1', '0'], 'after': ['1_u']}]",
17,What are the two fire stations closest to each school in Utrecht,"[{'type': ['object'], 'id': '0', 'keyword': 'school'}, {'type': ['object'], 'id': '1', 'keyword': 'fire stations'}]",['Utrecht'],"[{'before': ['1', '0'], 'after': ['1_u']}]",
18,What is the number of people between 15 and 19 years old within 1.5 miles of library branches in Palm city,"[{'type': ['object'], 'id': '0', 'keyword': 'library branches'}, {'type': ['distField'], 'id': '1', 'keyword': ''}, {'type': ['object'], 'id': '2', 'keyword': 'people'}, {'type': ['conamount'], 'id': '3', 'keyword': 'number', 'measureLevel': 'count'}]",['Palm city'],"[{'before': ['0'], 'after': ['1']}, {'before': ['2', '1'], 'after': ['2_u']}, {'before': ['2_u'], 'after': ['3']}]",
19,What is the number of asian people within 1.5 miles of library branches in Palm city,"[{'type': ['object'], 'id': '0', 'keyword': 'library branches'}, {'type': ['distField'], 'id': '1', 'keyword': ''}, {'type': ['object'], 'id': '2', 'keyword': 'asian people'}, {'type': ['conamount'], 'id': '3', 'keyword': 'number', 'measureLevel': 'count'}]",['Palm city'],"[{'before': ['0'], 'after': ['1']}, {'before': ['2', '1'], 'after': ['2_u']}, {'before': ['2_u'], 'after': ['3']}]",
20,What are the median household income within 1.5 miles of library branches in Palm city,"[{'type': ['object'], 'id': '0', 'keyword': 'library branches'}, {'type': ['distField'], 'id': '1', 'keyword': ''}, {'type': ['objconamount'], 'id': '2', 'keyword': 'household income', 'measureLevel': 'era'}, {'type': ['aggre'], 'id': '3', 'keyword': 'median'}]",['Palm city'],"[{'before': ['0'], 'after': ['1']}, {'before': ['2', '1'], 'after': ['3']}]",
21,What areas are within four minutes of a fire station at 5 pm on Friday in Utrecht,"[{'type': ['object'], 'id': '0', 'keyword': 'fire station'}, {'type': ['serviceObj'], 'id': '1', 'keyword': ''}, {'type': ['location'], 'id': '2', 'keyword': ''}, {'type': ['network', 'object'], 'id': '3', 'keyword': 'road data'}]",['Utrecht'],"[{'before': ['0', '3'], 'after': ['1']}, {'before': ['1'], 'after': ['2']}]","['5 pm', 'Friday']"
22,What are the areas within a four-minute drive of each fire station at 2 a.m. on Tuesday in Utrecht,"[{'type': ['object'], 'id': '0', 'keyword': 'fire station'}, {'type': ['serviceObj'], 'id': '1', 'keyword': ''}, {'type': ['location'], 'id': '2', 'keyword': ''}, {'type': ['network', 'object'], 'id': '3', 'keyword': 'road data'}]",['Utrecht'],"[{'before': ['0', '3'], 'after': ['1']}, {'before': ['1'], 'after': ['2']}]","['2 a.m.', 'Tuesday']"
23,"What areas are within 6 minute, 8 minute, 10 minute and 12 minute of driving time from fire stations in Utrecht","[{'type': ['object'], 'id': '0', 'keyword': 'fire stations'}, {'type': ['network'], 'id': '1', 'keyword': 'driving time'}, {'type': ['serviceObj'], 'id': '2', 'keyword': ''}, {'type': ['network', 'object'], 'id': '3', 'keyword': 'road data'}, {'type': ['location'], 'id': '4', 'keyword': ''}]",['Utrecht'],"[{'before': ['0', '3'], 'after': ['2']}, {'before': ['2'], 'after': ['4']}]",
24,How many streetlights for each district in San Diego,"[{'type': ['object'], 'id': '0', 'keyword': 'district'}, {'type': ['object'], 'id': '1', 'keyword': 'streetlights'}, {'type': ['conamount'], 'id': '2', 'keyword': ''}]",['San Diego'],"[{'before': ['1', '0'], 'after': ['2']}]",
25,What is the total length of bike routes for each district in San Diego,"[{'type': ['object'], 'id': '0', 'keyword': 'district'}, {'type': ['object'], 'id': '1', 'keyword': 'bike routes'}, {'type': ['covamount'], 'id': '2', 'keyword': 'length', 'measureLevel': 'era'}, {'type': ['aggre'], 'id': '3', 'keyword': 'total'}]",['San Diego'],"[{'before': ['1'], 'after': ['2']}, {'before': ['2', '0'], 'after': ['3']}]",
26,Which districts have more than 165 streetlights and less than 250 streetlights in San Diego,"[{'type': ['object'], 'id': '0', 'keyword': 'streetlights', 'measureLevel': 'era'}, {'type': ['object'], 'id': '1', 'keyword': 'districts'}]",['San Diego'],"[{'before': ['1', '0'], 'after': ['2_u']}]",
27,Which districts have bicycle routes more than 2.3 miles and less than 3.9 miles in San Diego,"[{'type': ['object'], 'id': '0', 'keyword': 'bicycle routes', 'measureLevel': 'era'}, {'type': ['object'], 'id': '1', 'keyword': 'districts'}]",['San Diego'],"[{'before': ['1', '0'], 'after': ['1_u']}]",
28,"What liquor stores are within 1000 foot of schools, libraries, and parks in El Cajon","[{'type': ['object'], 'id': '0', 'keyword': 'parks'}, {'type': ['object'], 'id': '1', 'keyword': 'libraries'}, {'type': ['object'], 'id': '2', 'keyword': 'schools'}, {'type': ['distField'], 'id': '3', 'keyword': ''}, {'type': ['object'], 'id': '4', 'keyword': 'liquor stores'}]",['El Cajon'],"[{'before': ['0'], 'after': ['3']}, {'before': ['1'], 'after': ['3_u']}, {'before': ['2'], 'after': ['3_u_u']}, {'before': ['3', '3_u', '3_u_u'], 'after': ['3_u_u_u']}, {'before': ['4', '3_u_u_u'], 'after': ['4_u']}]",
29,What liquor stores are within 1000 foot of schools in El Cajon,"[{'type': ['object'], 'id': '0', 'keyword': 'schools'}, {'type': ['distField'], 'id': '1', 'keyword': ''}, {'type': ['object'], 'id': '2', 'keyword': 'liquor stores'}]",['El Cajon'],"[{'before': ['0'], 'after': ['1']}, {'before': ['2', '1'], 'after': ['2_u']}]",
30,What liquor stores are within 1000 foot of libraries in El Cajon,"[{'type': ['object'], 'id': '0', 'keyword': 'libraries'}, {'type': ['distField'], 'id': '1', 'keyword': ''}, {'type': ['object'], 'id': '2', 'keyword': 'liquor stores'}]",['El Cajon'],"[{'before': ['0'], 'after': ['1']}, {'before': ['2', '1'], 'after': ['2_u']}]",
31,What liquor stores are within 1000 foot of parks in El Cajon,"[{'type': ['object'], 'id': '0', 'keyword': 'parks'}, {'type': ['distField'], 'id': '1', 'keyword': ''}, {'type': ['object'], 'id': '2', 'keyword': 'liquor stores'}]",['El Cajon'],"[{'before': ['0'], 'after': ['1']}, {'before': ['2', '1'], 'after': ['2_u']}]",
32,What areas are inside 1000 foot of schools in El Cajon,"[{'type': ['object'], 'id': '0', 'keyword': 'schools'}, {'type': ['distField'], 'id': '1', 'keyword': ''}, {'type': ['location'], 'id': '2', 'keyword': ''}]",['El Cajon'],"[{'before': ['0'], 'after': ['1']}, {'before': ['1'], 'after': ['2']}]",
33,Which college district has the fewest households with an annual income less than 30000 dollars in the United States of America,"[{'type': ['objconamount'], 'id': '0', 'keyword': 'annual income', 'measureLevel': 'era'}, {'type': ['object'], 'id': '1', 'keyword': 'households'}, {'type': ['object'], 'id': '2', 'keyword': 'college district'}]",['United States of America'],"[{'before': ['1', '0'], 'after': ['1_u']}, {'before': ['2', '1_u'], 'after': ['2_u_u']}]",
34,Which wind farm proposals are not intersect with the wild lands in Scotland,"[{'type': ['object'], 'id': '0', 'keyword': 'wild lands'}, {'type': ['object'], 'id': '1', 'keyword': 'wind farm proposals'}]",['Scotland'],"[{'before': ['1', '0'], 'after': ['1_u']}]",
35,What areas are visible from the wild lands in Scotland,"[{'type': ['object'], 'id': '0', 'keyword': 'wild lands'}, {'type': ['location'], 'id': '1', 'keyword': ''}]",['Scotland'],"[{'before': ['0'], 'after': ['1']}]",
36,Which wind farm proposals are nearest to the roads in Scotland,"[{'type': ['object'], 'id': '0', 'keyword': 'roads'}, {'type': ['object'], 'id': '1', 'keyword': 'wind farm proposals'}]",['Scotland'],"[{'before': ['1', '0'], 'after': ['1_u']}]",
37,"What areas are within a quarter mile of a store or restaurant, light rail stop, and planned commercial district in Gresham","[{'type': ['object'], 'id': '0', 'keyword': 'planned commercial district'}, {'type': ['object'], 'id': '1', 'keyword': 'light rail stop'}, {'type': ['object'], 'id': '2', 'keyword': 'restaurant'}, {'type': ['object'], 'id': '3', 'keyword': 'store'}, {'type': ['distField'], 'id': '4', 'keyword': ''}, {'type': ['location'], 'id': '5', 'keyword': ''}]",['Gresham'],"[{'before': ['0'], 'after': ['4']}, {'before': ['1'], 'after': ['4_u']}, {'before': ['2'], 'after': ['4_u_u']}, {'before': ['3'], 'after': ['4_u_u_u']}, {'before': ['4', '4_u', '4_u_u', '4_u_u_u'], 'after': ['4_u_u_u_u']}, {'before': ['4_u_u_u_u'], 'after': ['5']}]",
38,What areas are within a quarter mile of a store in Gresham,"[{'type': ['object'], 'id': '0', 'keyword': 'store'}, {'type': ['distField'], 'id': '1', 'keyword': ''}, {'type': ['location'], 'id': '2', 'keyword': ''}]",['Gresham'],"[{'before': ['0'], 'after': ['1']}, {'before': ['1'], 'after': ['2']}]",
39,What areas are within a quarter mile of a restaurant in Gresham,"[{'type': ['object'], 'id': '0', 'keyword': 'restaurant'}, {'type': ['distField'], 'id': '1', 'keyword': ''}, {'type': ['location'], 'id': '2', 'keyword': ''}]",['Gresham'],"[{'before': ['0'], 'after': ['1']}, {'before': ['1'], 'after': ['2']}]",
40,What areas are within a quarter mile of light rail stop in Gresham,"[{'type': ['object'], 'id': '0', 'keyword': 'light rail stop'}, {'type': ['distField'], 'id': '1', 'keyword': ''}, {'type': ['location'], 'id': '2', 'keyword': ''}]",['Gresham'],"[{'before': ['0'], 'after': ['1']}, {'before': ['1'], 'after': ['2']}]",
41,What areas are within a quarter mile of planned commercial district in Gresham,"[{'type': ['object'], 'id': '0', 'keyword': 'planned commercial district'}, {'type': ['distField'], 'id': '1', 'keyword': ''}, {'type': ['location'], 'id': '2', 'keyword': ''}]",['Gresham'],"[{'before': ['0'], 'after': ['1']}, {'before': ['1'], 'after': ['2']}]",
42,Which gas stations are in Gresham,"[{'type': ['object'], 'id': '0', 'keyword': 'gas stations'}]",['Gresham'],"[{'before': ['0'], 'after': ['0_u']}]",
43,What is the area of currently mixed use zones in Gresham,"[{'type': ['field'], 'id': '0', 'keyword': 'currently mixed use zones', 'measureLevel': 'nominal'}, {'type': ['covamount'], 'id': '1', 'keyword': 'area', 'measureLevel': 'era'}]",['Gresham'],"[{'before': ['0'], 'after': ['1']}]",
44,What is the number of tornadoes for each state in the United States of America from 1950 to 2011,"[{'type': ['object'], 'id': '0', 'keyword': 'state'}, {'type': ['event'], 'id': '1', 'keyword': 'tornadoes'}, {'type': ['conamount'], 'id': '2', 'keyword': 'number', 'measureLevel': 'count'}]",['United States of America'],"[{'before': ['1', '0'], 'after': ['2']}]",['from 1950 to 2011']
45,Which county has the highest Fujita damage scale in the United States of America from 1950 to 2011,"[{'type': ['objectquality'], 'id': '0', 'keyword': 'fujita damage scale', 'measureLevel': 'ratio'}, {'type': ['object'], 'id': '1', 'keyword': 'county'}]",['United States of America'],"[{'before': ['1', '0'], 'after': ['1_u']}]",['from 1950 to 2011']
46,What are the mean directions of tornadoes for each county in the United States of America from 1950 to 2011,"[{'type': ['object'], 'id': '0', 'keyword': 'county'}, {'type': ['event'], 'id': '1', 'keyword': 'tornadoes'}, {'type': ['covamount'], 'id': '2', 'keyword': 'mean directions', 'measureLevel': 'loc'}]",['United States of America'],"[{'before': ['1', '0'], 'after': ['2']}]",['from 1950 to 2011']
47,What are the risk index of new homelessness for each census tract in Los Angeles,"[{'type': ['object'], 'id': '0', 'keyword': 'census tract'}, {'type': ['event'], 'id': '1', 'keyword': 'homelessness'}, {'type': ['eventquality'], 'id': '2', 'keyword': 'risk index', 'measureLevel': 'ratio'}]",['Los Angeles'],"[{'before': ['1', '0'], 'after': ['2']}]",
48,Which census tracts have more than 200 unemployed people over 16 years old in Los Angeles,"[{'type': ['object'], 'id': '0', 'keyword': 'unemployed people'}, {'type': ['object'], 'id': '1', 'keyword': 'census tracts'}]",['Los Angeles'],"[{'before': ['1', '0'], 'after': ['1_u']}]",
49,Where is the hot spot of homeless population density for each 20000 feet distance band in Los Angeles,"[{'type': ['distanceBand'], 'id': '0', 'keyword': '20000 feet distance band'}, {'type': ['objconobjcovpro'], 'id': '1', 'keyword': 'homeless population density', 'measureLevel': 'ira'}, {'type': ['covamount'], 'id': '2', 'keyword': 'hot spot', 'measureLevel': 'loc'}, {'type': ['location'], 'id': '3', 'keyword': ''}]",['Los Angeles'],"[{'before': ['0', '1'], 'after': ['2']}, {'before': ['2'], 'after': ['3']}]",
50,"Which vacant lots are larger than 20 acres, within 1 mile of a freeway, and outside the flood zone in Hillsboro","[{'type': ['field'], 'id': '0', 'keyword': 'flood zone', 'measureLevel': 'nominal'}, {'type': ['object'], 'id': '1', 'keyword': 'freeway'}, {'type': ['distField'], 'id': '2', 'keyword': ''}, {'type': ['field'], 'id': '3', 'keyword': 'vacant lots', 'measureLevel': 'nominal'}]",['Hillsboro'],"[{'before': ['1'], 'after': ['2']}, {'before': ['3', '0'], 'after': ['3_u']}, {'before': ['3', '2'], 'after': ['3_u_u']}, {'before': ['3_u', '3_u_u'], 'after': ['3_u_u_u']}]",
51,Which vacant lots are larger than 20 acres in Hillsboro,"[{'type': ['field'], 'id': '0', 'keyword': 'vacant lots', 'measureLevel': 'nominal'}]",['Hillsboro'],"[{'before': ['0'], 'after': ['0_u']}]",
52,Which vacant lots are within 1 mile of a freeway in Hillsboro,"[{'type': ['object'], 'id': '0', 'keyword': 'freeway'}, {'type': ['distField'], 'id': '1', 'keyword': ''}, {'type': ['field'], 'id': '2', 'keyword': 'vacant lots', 'measureLevel': 'nominal'}]",['Hillsboro'],"[{'before': ['0'], 'after': ['1']}, {'before': ['2', '1'], 'after': ['2_u']}]",
53,Which vacant lots are outside the flood zone in Hillsboro,"[{'type': ['field'], 'id': '0', 'keyword': 'flood zone', 'measureLevel': 'nominal'}, {'type': ['field'], 'id': '1', 'keyword': 'vacant lots', 'measureLevel': 'nominal'}]",['Hillsboro'],"[{'before': ['1', '0'], 'after': ['1_u']}]",
54,What is the average cost per acre for each potential sites in Hillsboro,"[{'type': ['object'], 'id': '0', 'keyword': 'potential sites'}, {'type': ['objconobjcovpro'], 'id': '1', 'keyword': 'average cost per acre', 'measureLevel': 'ira'}]",['Hillsboro'],"[{'before': ['1', '0'], 'after': ['1_u']}]",
55,"Where are the private lands in Crook county, Deschutes county, and Jefferson county","[{'type': ['field'], 'id': '0', 'keyword': 'private lands', 'measureLevel': 'nominal'}, {'type': ['location'], 'id': '1', 'keyword': ''}]","['Crook county', 'Deschutes county', 'Jefferson county']","[{'before': ['0'], 'after': ['1']}]",
56,"What is the Euclidean distance to the rivers in Crook, Deschutes, and Jefferson county","[{'type': ['object'], 'id': '0', 'keyword': 'rivers'}, {'type': ['field'], 'id': '1', 'keyword': 'euclidean distance', 'measureLevel': 'ratio'}]","['Crook', 'Deschutes', 'Jefferson county']","[{'before': ['0'], 'after': ['1']}]",
57,"Which airports are within 50 mile of Crook, Deschutes and Jefferson county","[{'type': ['placename'], 'id': '0', 'keyword': 'Crook'}, {'type': ['placename'], 'id': '1', 'keyword': 'Deschutes'}, {'type': ['placename'], 'id': '2', 'keyword': 'Jefferson'}, {'type': ['distField'], 'id': '3', 'keyword': ''}, {'type': ['object'], 'id': '4', 'keyword': 'airports'}]","['Crook', 'Deschutes', 'Jefferson county']","[{'before': ['0', '1', '2'], 'after': ['3']}, {'before': ['3', '4'], 'after': ['4_u']}]",
58,"What areas are within 60 minutes of airports in Crook, Deschutes, and Jefferson county","[{'type': ['object'], 'id': '0', 'keyword': 'airports'}, {'type': ['serviceObj'], 'id': '1', 'keyword': ''}, {'type': ['network', 'object'], 'id': '2', 'keyword': 'road data'}, {'type': ['location'], 'id': '3', 'keyword': ''}]","['Crook', 'Deschutes', 'Jefferson county']","[{'before': ['0', '2'], 'after': ['1']}, {'before': ['1'], 'after': ['3']}]",
59,"Which peaks are greater than or equal to 2000 meters and within 40 miles of the countries borders in Crook, Deschutes, and Jefferson county","[{'type': ['object'], 'id': '0', 'keyword': 'countries borders'}, {'type': ['distField'], 'id': '1', 'keyword': ''}, {'type': ['object'], 'id': '2', 'keyword': 'peaks'}]","['Crook', 'Deschutes', 'Jefferson county']","[{'before': ['0'], 'after': ['1']}, {'before': ['2', '1'], 'after': ['2_u']}]",
60,"What areas are visible from peaks in Crook, Deschutes, and Jefferson county","[{'type': ['object'], 'id': '0', 'keyword': 'peaks'}, {'type': ['location'], 'id': '1', 'keyword': ''}]","['Crook', 'Deschutes', 'Jefferson county']","[{'before': ['0'], 'after': ['1']}]",
61,"What is the average euclidean distance to rivers for each standard deviational ellipses of golf courses in Crook, Deschutes, and Jefferson county","[{'type': ['object'], 'id': '0', 'keyword': 'golf courses'}, {'type': ['covamount'], 'id': '1', 'keyword': 'standard deviational ellipses', 'measureLevel': 'loc'}, {'type': ['object'], 'id': '2', 'keyword': 'rivers'}, {'type': ['field'], 'id': '3', 'keyword': 'euclidean distance', 'measureLevel': 'ratio'}, {'type': ['aggre'], 'id': '4', 'keyword': 'average'}]","['Crook', 'Deschutes', 'Jefferson county']","[{'before': ['0'], 'after': ['1']}, {'before': ['2'], 'after': ['3']}, {'before': ['3', '1'], 'after': ['4']}]",
62,Which parcels have an average slope of less than 10 percent in Poway,"[{'type': ['field'], 'id': '0', 'keyword': 'slope', 'measureLevel': 'ratio'}, {'type': ['aggre'], 'id': '1', 'keyword': 'average'}, {'type': ['object'], 'id': '2', 'keyword': 'parcels'}]",['Poway'],"[{'before': ['0'], 'after': ['1']}, {'before': ['1', '2'], 'after': ['2_u']}]",
63,Which parcels are within 1500 feet of the major road in Poway,"[{'type': ['object'], 'id': '0', 'keyword': 'major road'}, {'type': ['distField'], 'id': '1', 'keyword': ''}, {'type': ['object'], 'id': '2', 'keyword': 'parcels'}]",['Poway'],"[{'before': ['0'], 'after': ['1']}, {'before': ['2', '1'], 'after': ['2_u']}]",
64,Which census blocks are within a four-minute travel time from fire stations in Poway,"[{'type': ['object'], 'id': '0', 'keyword': 'fire stations'}, {'type': ['network'], 'id': '1', 'keyword': 'travel time'}, {'type': ['serviceObj'], 'id': '2', 'keyword': ''}, {'type': ['network', 'object'], 'id': '3', 'keyword': 'road data'}, {'type': ['object'], 'id': '4', 'keyword': 'census blocks'}]",['Poway'],"[{'before': ['0', '3'], 'after': ['2']}, {'before': ['4', '2'], 'after': ['4_u']}]",
