,question,cctrans.types,cctrans.extent,cctrans.transformation,cctrans.temporalEx
65,What is the percentage of census blocks within 4 minute travel time from fire stations in Poway,"[{'type': ['object'], 'id': '0', 'keyword': 'fire stations'}, {'type': ['network'], 'id': '1', 'keyword': 'travel time'}, {'type': ['serviceObj'], 'id': '2', 'keyword': ''}, {'type': ['network', 'object'], 'id': '3', 'keyword': 'road data'}, {'type': ['object'], 'id': '4', 'keyword': 'census blocks'}, {'type': ['proportion'], 'id': '5', 'keyword': 'percentage', 'measureLevel': 'ira'}, {'type': ['amount'], 'id': '6', 'keyword': '', 'measureLevel': 'era'}, {'type': ['amount'], 'id': '7', 'keyword': '', 'measureLevel': 'era'}]",['Poway'],"[{'before': ['0', '3'], 'after': ['2']}, {'before': ['2', '4'], 'after': ['4_u']}, {'before': ['4_u'], 'after': ['6']}, {'before': ['4'], 'after': ['7']}, {'before': ['6', '7'], 'after': ['5']}]",
66,What is the total population within a four-minute travel time from fire stations in Poway,"[{'type': ['object'], 'id': '0', 'keyword': 'fire stations'}, {'type': ['network'], 'id': '1', 'keyword': 'travel time'}, {'type': ['serviceObj'], 'id': '2', 'keyword': ''}, {'type': ['network', 'object'], 'id': '3', 'keyword': 'road data'}, {'type': ['objconamount'], 'id': '4', 'keyword': 'total population', 'measureLevel': 'count'}]",['Poway'],"[{'before': ['0', '3'], 'after': ['2']}, {'before': ['4', '2'], 'after': ['4_u']}]",
67,What is the total property values within a four-minute travel time from fire stations in Poway,"[{'type': ['object'], 'id': '0', 'keyword': 'fire stations'}, {'type': ['network'], 'id': '1', 'keyword': 'travel time'}, {'type': ['serviceObj'], 'id': '2', 'keyword': ''}, {'type': ['network', 'object'], 'id': '3', 'keyword': 'road data'}, {'type': ['conamount'], 'id': '4', 'keyword': 'property values', 'measureLevel': 'era'}, {'type': ['aggre'], 'id': '5', 'keyword': 'total'}]",['Poway'],"[{'before': ['0', '3'], 'after': ['2']}, {'before': ['4', '2'], 'after': ['5']}]",
68,What is the total miles of streets within four minutes of fire stations in Poway,"[{'type': ['object'], 'id': '0', 'keyword': 'fire stations'}, {'type': ['serviceObj'], 'id': '1', 'keyword': ''}, {'type': ['network', 'object'], 'id': '2', 'keyword': 'road data'}, {'type': ['object'], 'id': '3', 'keyword': 'streets'}, {'type': ['covamount'], 'id': '4', 'keyword': 'total miles', 'measureLevel': 'era'}]",['Poway'],"[{'before': ['2', '0'], 'after': ['1']}, {'before': ['1', '3'], 'after': ['4']}]",
69,What is the cluster for the people over 55 years old in USA in 2019,"[{'type': ['object'], 'id': '0', 'keyword': 'people'}, {'type': ['covamount'], 'id': '1', 'keyword': 'cluster', 'measureLevel': 'loc'}]",['USA'],"[{'before': ['0'], 'after': ['1']}]",['2019']
70,What is the hot spot of house vacancy rate in USA in 2019,"[{'type': ['objconobjconpro'], 'id': '0', 'keyword': 'house vacancy rate', 'measureLevel': 'ira'}, {'type': ['covamount'], 'id': '1', 'keyword': 'hot spot', 'measureLevel': 'loc'}]",['USA'],"[{'before': ['0'], 'after': ['1']}]",['2019']
71,What is the ratio of population over 55 years old in a zip code area to the total population over 55 years old in USA in 2019,"[{'type': ['objconamount'], 'id': '0', 'keyword': 'total population', 'measureLevel': 'count'}, {'type': ['object'], 'id': '1', 'keyword': 'zip code area'}, {'type': ['objconamount'], 'id': '2', 'keyword': 'population', 'measureLevel': 'era'}, {'type': ['proportion'], 'id': '3', 'keyword': 'ratio', 'measureLevel': 'ira'}]",['USA'],"[{'before': ['1', '2'], 'after': ['2_u']}, {'before': ['2_u', '0'], 'after': ['3']}]",['2019']
72,At which locations is the number of traffic accidents increasing in Florida between 2010 and 2015,"[{'type': ['event'], 'id': '0', 'keyword': 'traffic accidents'}, {'type': ['conamount'], 'id': '1', 'keyword': 'number', 'measureLevel': 'count'}, {'type': ['location'], 'id': '2', 'keyword': 'location'}]",['Florida'],"[{'before': ['0'], 'after': ['1']}, {'before': ['1'], 'after': ['2']}]",['between 2010 and 2015']
73,At which range of time of the day is the number of car accidents highest between 2010 and 2015 in Florida,"[{'type': ['event'], 'id': '0', 'keyword': 'car accidents'}, {'type': ['conamount'], 'id': '1', 'keyword': 'number', 'measureLevel': 'count'}, {'type': ['time'], 'id': '2', 'keyword': 'range of time'}]",['Florida'],"[{'before': ['0'], 'after': ['1']}, {'before': ['1'], 'after': ['2']}]",['between 2010 and 2015']
74,Where do the car accidents between 3:00 and 5:00 pm occur in Florida between 2010 and 2015,"[{'type': ['event'], 'id': '0', 'keyword': 'car accidents'}, {'type': ['location'], 'id': '1', 'keyword': ''}]",['Florida'],"[{'before': ['0'], 'after': ['1']}]",['between 2010 and 2015']
75,Where are hot spots of violent crime incidents in Florida in 2019,"[{'type': ['event'], 'id': '0', 'keyword': 'violent crime incidents'}, {'type': ['covamount'], 'id': '1', 'keyword': 'hot spots', 'measureLevel': 'loc'}, {'type': ['location'], 'id': '2', 'keyword': ''}]",['Florida'],"[{'before': ['0'], 'after': ['1']}, {'before': ['1'], 'after': ['2']}]",['2019']
76,At which locations has the number of violent crime incident increased in Florida in 2019,"[{'type': ['event'], 'id': '0', 'keyword': 'violent crime incidents'}, {'type': ['conamount'], 'id': '1', 'keyword': 'number', 'measureLevel': 'count'}, {'type': ['location'], 'id': '2', 'keyword': ''}]",['Florida'],"[{'before': ['0'], 'after': ['1']}, {'before': ['1'], 'after': ['2']}]",['2019']
77,Where do hot spots of crime incidents overlap with hot spots of unemployment in Florida in 2019,"[{'type': ['event'], 'id': '0', 'keyword': 'unemployment'}, {'type': ['covamount'], 'id': '1', 'keyword': 'hot spots', 'measureLevel': 'loc'}, {'type': ['event'], 'id': '2', 'keyword': 'crime incidents'}, {'type': ['covamount'], 'id': '3', 'keyword': 'hot spots', 'measureLevel': 'loc'}, {'type': ['location'], 'id': '4', 'keyword': ''}]",['Florida'],"[{'before': ['0'], 'after': ['1']}, {'before': ['2'], 'after': ['3']}, {'before': ['3', '1'], 'after': ['4']}]",['2019']
78,Which residential properties are within 1 km of a school in Swellendam,"[{'type': ['object'], 'id': '0', 'keyword': 'school'}, {'type': ['distField'], 'id': '1', 'keyword': ''}, {'type': ['object'], 'id': '2', 'keyword': 'residential properties'}]",['Swellendam'],"[{'before': ['0'], 'after': ['1']}, {'before': ['2', '1'], 'after': ['2_u']}]",
79,Which residential properties are larger than 100 square meters in Swellendam,"[{'type': ['object'], 'id': '0', 'keyword': 'residential properties'}]",['Swellendam'],"[{'before': ['0'], 'after': ['0_u']}]",
80,Which residential properties are within 50 meters of a main road in Swellendam,"[{'type': ['object'], 'id': '0', 'keyword': 'main road'}, {'type': ['distField'], 'id': '1', 'keyword': ''}, {'type': ['object'], 'id': '2', 'keyword': 'residential properties'}]",['Swellendam'],"[{'before': ['0'], 'after': ['1']}, {'before': ['2', '1'], 'after': ['2_u']}]",
81,Which residential properties are within 500 meters of a restaurant in Swellendam,"[{'type': ['object'], 'id': '0', 'keyword': 'restaurant'}, {'type': ['distField'], 'id': '1', 'keyword': ''}, {'type': ['object'], 'id': '2', 'keyword': 'residential properties'}]",['Swellendam'],"[{'before': ['0'], 'after': ['1']}, {'before': ['2', '1'], 'after': ['2_u']}]",
82,What areas are within 1000 meters of roads in Assam in India,"[{'type': ['object'], 'id': '0', 'keyword': 'roads'}, {'type': ['distField'], 'id': '1', 'keyword': ''}, {'type': ['location'], 'id': '2', 'keyword': ''}]","['Assam', 'India']","[{'before': ['0'], 'after': ['1']}, {'before': ['1'], 'after': ['2']}]",
83,What areas are outside 5 km of water bodies in Assam in India,"[{'type': ['field'], 'id': '0', 'keyword': 'water bodies', 'measureLevel': 'nominal'}, {'type': ['distField'], 'id': '1', 'keyword': ''}, {'type': ['location'], 'id': '2', 'keyword': ''}]","['Assam', 'India']","[{'before': ['0'], 'after': ['1']}, {'before': ['1'], 'after': ['2']}]",
84,Where are not protected region in Assam in India,"[{'type': ['field'], 'id': '0', 'keyword': 'protected region', 'measureLevel': 'nominal'}, {'type': ['location'], 'id': '1', 'keyword': ''}]","['Assam', 'India']","[{'before': ['0'], 'after': ['1']}]",
85,What is the average rating of street pavement for each borough in New York City,"[{'type': ['object'], 'id': '0', 'keyword': 'borough'}, {'type': ['object'], 'id': '1', 'keyword': 'street pavement'}, {'type': ['objectquality'], 'id': '2', 'keyword': 'rating', 'measureLevel': 'ordinal'}, {'type': ['aggre'], 'id': '3', 'keyword': 'average'}]",['New York City'],"[{'before': ['1'], 'after': ['2']}, {'before': ['2', '0'], 'after': ['3']}]",
86,What is the population density in California,"[{'type': ['objconobjcovpro'], 'id': '0', 'keyword': 'population density', 'measureLevel': 'ira'}]",['California'],"[{'before': ['0'], 'after': ['0_u']}]",
87,Which bars are within half a kilometre of a metro station in Melbourne,"[{'type': ['object'], 'id': '0', 'keyword': 'metro station'}, {'type': ['distField'], 'id': '1', 'keyword': ''}, {'type': ['object'], 'id': '2', 'keyword': 'bars'}]",['Melbourne'],"[{'before': ['0'], 'after': ['1']}, {'before': ['2', '1'], 'after': ['2_u']}]",
88,Which pubs are within half a kilometre of a metro station in Melbourne,"[{'type': ['object'], 'id': '0', 'keyword': 'metro station'}, {'type': ['distField'], 'id': '1', 'keyword': ''}, {'type': ['object'], 'id': '2', 'keyword': 'pubs'}]",['Melbourne'],"[{'before': ['0'], 'after': ['1']}, {'before': ['2', '1'], 'after': ['2_u']}]",
89,What is the kernel density of crime in Surrey in UK,"[{'type': ['event'], 'id': '0', 'keyword': 'crime'}, {'type': ['field'], 'id': '1', 'keyword': 'kernel density', 'measureLevel': 'ratio'}]","['Surrey', 'UK']","[{'before': ['0'], 'after': ['1']}]",
90,Which mental health facilities are closest to each address in Washington DC,"[{'type': ['object'], 'id': '0', 'keyword': 'address'}, {'type': ['object'], 'id': '1', 'keyword': 'mental health facilities'}]",['Washington DC'],"[{'before': ['1', '0'], 'after': ['1_u']}]",
91,What areas are within 15 minutes walking distance of a metro rail station in Kochi in India,"[{'type': ['object'], 'id': '0', 'keyword': 'metro rail station'}, {'type': ['network'], 'id': '1', 'keyword': 'walking distance'}, {'type': ['serviceObj'], 'id': '2', 'keyword': ''}, {'type': ['network', 'object'], 'id': '3', 'keyword': 'road data'}, {'type': ['location'], 'id': '4', 'keyword': ''}]","['Kochi', 'India']","[{'before': ['0', '3'], 'after': ['2']}, {'before': ['2'], 'after': ['4']}]",
92,What is the average monthly rainfall for each zip code area in the Seattle,"[{'type': ['object'], 'id': '0', 'keyword': 'zip code area'}, {'type': ['field'], 'id': '1', 'keyword': 'monthly rainfall', 'measureLevel': 'ratio'}, {'type': ['aggre'], 'id': '2', 'keyword': 'average'}]",['Seattle'],"[{'before': ['1', '0'], 'after': ['2']}]",
93,What are the vegetation areas larger than 6000 square meters in the Cape Peninsula,"[{'type': ['field'], 'id': '0', 'keyword': 'vegetation areas', 'measureLevel': 'nominal'}]",['Cape Peninsula'],"[{'before': ['0'], 'after': ['0_u']}]",
94,What areas have an aspect larger than 45 degree and smaller than 135 degrees in the Cape Peninsula,"[{'type': ['field'], 'id': '0', 'keyword': 'aspect', 'measureLevel': 'interval'}, {'type': ['location'], 'id': '1', 'keyword': ''}]",['Cape Peninsula'],"[{'before': ['0'], 'after': ['1']}]",
95,What areas have slope larger than 15 percent and smaller than 60 percent in the Cape Peninsula,"[{'type': ['field'], 'id': '0', 'keyword': 'slope', 'measureLevel': 'ratio'}, {'type': ['location'], 'id': '1', 'keyword': ''}]",['Cape Peninsula'],"[{'before': ['0'], 'after': ['1']}]",
96,What areas have an annual rainfall of more than 1000 millimeters in the Cape Peninsula,"[{'type': ['field'], 'id': '0', 'keyword': 'annual rainfall', 'measureLevel': 'ratio'}, {'type': ['location'], 'id': '1', 'keyword': ''}]",['Cape Peninsula'],"[{'before': ['0'], 'after': ['1']}]",
97,What areas are outside 250 meters of human settlement in the Cape Peninsula,"[{'type': ['field'], 'id': '0', 'keyword': 'human settlement', 'measureLevel': 'nominal'}, {'type': ['distField'], 'id': '1', 'keyword': ''}, {'type': ['location'], 'id': '2', 'keyword': ''}]",['Cape Peninsula'],"[{'before': ['0'], 'after': ['1']}, {'before': ['1'], 'after': ['2']}]",
98,Which city is closest to each major earthquake in the world,"[{'type': ['event'], 'id': '0', 'keyword': 'major earthquake'}, {'type': ['object'], 'id': '1', 'keyword': 'city'}]",['world'],"[{'before': ['1', '0'], 'after': ['1_u']}]",
99,What is the number of maritime piracy incidents for each hexagonal grid in the world,"[{'type': ['grid'], 'id': '0', 'keyword': 'hexagonal grid'}, {'type': ['event'], 'id': '1', 'keyword': 'maritime piracy incidents'}, {'type': ['conamount'], 'id': '2', 'keyword': 'number', 'measureLevel': 'count'}]",['world'],"[{'before': ['1', '0'], 'after': ['2']}]",
100,Where are the clusters of fatal car accidents with at least three incidents inside 300 meter search distance in the United State,"[{'type': ['event'], 'id': '0', 'keyword': 'fatal car accidents'}, {'type': ['covamount'], 'id': '1', 'keyword': 'clusters', 'measureLevel': 'loc'}, {'type': ['location'], 'id': '2', 'keyword': ''}]",['United State'],"[{'before': ['0'], 'after': ['1']}, {'before': ['1'], 'after': ['2']}]",
101,What is the literacy rate for each country in Africa,"[{'type': ['object'], 'id': '0', 'keyword': 'country'}, {'type': ['objconobjconpro'], 'id': '1', 'keyword': 'literacy rate', 'measureLevel': 'ira'}]",['Africa'],"[{'before': ['1', '0'], 'after': ['1_u']}]",
102,What are the countries where literacy rates are rising or falling in Africa between 1990 and 2015,"[{'type': ['object'], 'id': '0', 'keyword': 'countries'}, {'type': ['objconobjconpro'], 'id': '1', 'keyword': 'literacy rates', 'measureLevel': 'ira'}]",['Africa'],"[{'before': ['0', '1'], 'after': ['0_u']}]",['between 1990 and 2015']
103,Which countries are with low literacy rates and high adolescent birth rates in Africa,"[{'type': ['object'], 'id': '0', 'keyword': 'countries'}, {'type': ['objconobjconpro'], 'id': '1', 'keyword': 'literacy rates', 'measureLevel': 'ira'}, {'type': ['objconobjconpro'], 'id': '2', 'keyword': 'adolescent birth rates', 'measureLevel': 'ira'}]",['Africa'],"[{'before': ['0', '1', '2'], 'after': ['0_u']}]",
104,What was the cesium 137 concentration near the Chernobyl nuclear power plant in 1992,"[{'type': ['field'], 'id': '0', 'keyword': 'cesium 137 concentration', 'measureLevel': 'ratio'}]",['Chernobyl nuclear power plant'],"[{'before': ['0'], 'after': ['0_u']}]",['1992']
105,What was the spatial autocorrelation of the cesium 137 concentration near the Chernobyl nuclear power plant in 1992,"[{'type': ['correlation'], 'id': '0', 'keyword': 'spatial autocorrelation'}, {'type': ['field'], 'id': '1', 'keyword': 'cesium 137 concentration', 'measureLevel': 'ratio'}]",['Chernobyl nuclear power plant'],"[{'before': ['1'], 'after': ['0']}]",
106,What was the spatial trend of the cesium 137 concentration near the Chernobyl nuclear power plant in 1992,"[{'type': ['trend'], 'id': '0', 'keyword': 'spatial trend'}, {'type': ['field'], 'id': '1', 'keyword': 'cesium 137 concentration', 'measureLevel': 'ratio'}]",['Chernobyl nuclear power plant'],"[{'before': ['1'], 'after': ['0']}]",
107,Which ZIP3 areas do have the highest per household online loan application rates in the US,"[{'type': ['objconobjconpro'], 'id': '0', 'keyword': 'per household online loan application rates', 'measureLevel': 'ira'}, {'type': ['object'], 'id': '1', 'keyword': 'zip3 areas'}]",['US'],"[{'before': ['1', '0'], 'after': ['1_u']}]",
108,Which ZIP3 areas do have the highest average loan interest rates in the US,"[{'type': ['objectquality'], 'id': '0', 'keyword': 'average loan interest rates', 'measureLevel': 'ratio'}, {'type': ['object'], 'id': '1', 'keyword': 'zip3 areas'}]",['US'],"[{'before': ['1', '0'], 'after': ['1_u']}]",
109,What is the hot spots and cold spots for average loan interest rates in the US,"[{'type': ['objectquality'], 'id': '0', 'keyword': 'average loan interest rates', 'measureLevel': 'ratio'}, {'type': ['covamount'], 'id': '1', 'keyword': 'hot spots and cold spots', 'measureLevel': 'loc'}]",['US'],"[{'before': ['0'], 'after': ['1']}]",
110,What areas are within two miles of urban landuse in Loudoun County in US,"[{'type': ['field'], 'id': '0', 'keyword': 'urban landuse', 'measureLevel': 'nominal'}, {'type': ['distField'], 'id': '1', 'keyword': ''}, {'type': ['location'], 'id': '2', 'keyword': ''}]","['Loudoun County', 'US']","[{'before': ['0'], 'after': ['1']}, {'before': ['1'], 'after': ['2']}]",
111,What areas are within one mile of main roads in Loudoun County in US,"[{'type': ['object'], 'id': '0', 'keyword': 'main roads'}, {'type': ['distField'], 'id': '1', 'keyword': ''}, {'type': ['location'], 'id': '2', 'keyword': ''}]","['Loudoun County', 'US']","[{'before': ['0'], 'after': ['1']}, {'before': ['1'], 'after': ['2']}]",
112,What areas are outside 20 minute driving time from the current main hospital in Loudoun County in US,"[{'type': ['object'], 'id': '0', 'keyword': 'current main hospital'}, {'type': ['network'], 'id': '1', 'keyword': 'driving time'}, {'type': ['serviceObj'], 'id': '2', 'keyword': ''}, {'type': ['network', 'object'], 'id': '3', 'keyword': 'road data'}, {'type': ['location'], 'id': '4', 'keyword': ''}]","['Loudoun County', 'US']","[{'before': ['0', '3'], 'after': ['2']}, {'before': ['2'], 'after': ['4']}]",
113,What are the housing districts outside 15 minutes driving time from COVID testing sites in Connecticut,"[{'type': ['object'], 'id': '0', 'keyword': 'covid testing sites'}, {'type': ['network'], 'id': '1', 'keyword': 'driving time'}, {'type': ['serviceObj'], 'id': '2', 'keyword': ''}, {'type': ['network', 'object'], 'id': '3', 'keyword': 'road data'}, {'type': ['object'], 'id': '4', 'keyword': 'housing districts'}]",['Connecticut'],"[{'before': ['0', '3'], 'after': ['2']}, {'before': ['4', '2'], 'after': ['4_u']}]",
114,Where are the street crashes in Ottawa in 2018,"[{'type': ['event'], 'id': '0', 'keyword': 'street crashes'}, {'type': ['location'], 'id': '1', 'keyword': ''}]",['Ottawa'],"[{'before': ['0'], 'after': ['1']}]",['2018']
115,Where is the cluster of street crashes in Ottawa in 2018,"[{'type': ['event'], 'id': '0', 'keyword': 'street crashes'}, {'type': ['covamount'], 'id': '1', 'keyword': 'cluster', 'measureLevel': 'loc'}, {'type': ['location'], 'id': '2', 'keyword': ''}]",['Ottawa'],"[{'before': ['0'], 'after': ['1']}, {'before': ['1'], 'after': ['2']}]",['2018']
116,What is the number of street crashes for each ward in Ottawa in 2018,"[{'type': ['object'], 'id': '0', 'keyword': 'ward'}, {'type': ['event'], 'id': '1', 'keyword': 'street crashes'}, {'type': ['conamount'], 'id': '2', 'keyword': 'number', 'measureLevel': 'count'}]",['Ottawa'],"[{'before': ['1', '0'], 'after': ['2']}]",['2018']
117,Where are sinks in the terrain in Stowe in Vermont,"[{'type': ['field'], 'id': '0', 'keyword': 'terrain', 'measureLevel': 'ratio'}, {'type': ['object'], 'id': '1', 'keyword': 'sinks'}, {'type': ['location'], 'id': '2', 'keyword': ''}]","['Stowe', 'Vermont']","[{'before': ['1', '0'], 'after': ['1_u']}, {'before': ['1_u'], 'after': ['2']}]",
118,What is the area of the watershed upstream in Stowe in Vermont,"[{'type': ['field'], 'id': '0', 'keyword': 'watershed upstream', 'measureLevel': 'nominal'}, {'type': ['covamount'], 'id': '1', 'keyword': 'area', 'measureLevel': 'era'}]","['Stowe', 'Vermont']","[{'before': ['0'], 'after': ['1']}]",
119,"What is the flow velocity field in the watershed upstream in Stowe, Vermont","[{'type': ['field'], 'id': '0', 'keyword': 'watershed upstream', 'measureLevel': 'nominal'}, {'type': ['field'], 'id': '1', 'keyword': 'flow velocity field', 'measureLevel': 'ratio'}]","['Stowe', 'Vermont']","[{'before': ['1', '0'], 'after': ['1_u']}]",
120,What is the number of check ins for each hexagon grid in the San Francisco Bay Area,"[{'type': ['grid'], 'id': '0', 'keyword': 'hexagon grid'}, {'type': ['event'], 'id': '1', 'keyword': 'check ins'}, {'type': ['conamount'], 'id': '2', 'keyword': 'number', 'measureLevel': 'count'}]",['San Francisco Bay Area'],"[{'before': ['1', '0'], 'after': ['2']}]",
121,What is the spatial autocorrelation of the amount of checkins for each location in the San Francisco Bay area,"[{'type': ['correlation'], 'id': '0', 'keyword': 'spatial autocorrelation'}, {'type': ['amount'], 'id': '1', 'keyword': 'amount', 'measureLevel': 'era'}, {'type': ['event'], 'id': '2', 'keyword': 'checkins'}]",['San Francisco Bay area'],"[{'before': ['2'], 'after': ['1']}, {'before': ['1'], 'after': ['0']}]",
122,What is the trend of the amount of check-ins for each grid cell in the San Francisco Bay area,"[{'type': ['grid'], 'id': '0', 'keyword': 'grid cell'}, {'type': ['trend'], 'id': '1', 'keyword': 'trend'}, {'type': ['amount'], 'id': '2', 'keyword': 'amount', 'measureLevel': 'era'}, {'type': ['event'], 'id': '3', 'keyword': 'checkins'}]",['San Francisco Bay area'],"[{'before': ['0', '3'], 'after': ['2']}, {'before': ['2'], 'after': ['1']}]",
123,"What is the mean annual PM2.5 concentration in Italy, Great Britain and Norway","[{'type': ['field'], 'id': '0', 'keyword': 'PM2.5 concentration', 'measureLevel': 'ratio'}]","['Italy', 'Great Britain', 'Norway']","[{'before': ['0'], 'after': ['0_u']}]",
124,Where are the emerging hot spots of PM2.5 concentration on the globe,"[{'type': ['field'], 'id': '0', 'keyword': 'PM2.5 concentration', 'measureLevel': 'ratio'}, {'type': ['covamount'], 'id': '1', 'keyword': 'emerging hot spots', 'measureLevel': 'loc'}, {'type': ['location'], 'id': '2', 'keyword': ''}]",['globe'],"[{'before': ['0'], 'after': ['1']}, {'before': ['1'], 'after': ['2']}]",
125,"What is the number of traffic accidents clustered together in Pasadena, California","[{'type': ['event'], 'id': '0', 'keyword': 'traffic accidents'}, {'type': ['covamount'], 'id': '1', 'keyword': 'cluster'}, {'type': ['conamount'], 'id': '2', 'keyword': 'number', 'measureLevel': 'count'}]","['Pasadena', 'California']","[{'before': ['0'], 'after': ['1']}, {'before': ['1'], 'after': ['2']}]",
126,"What is the kernel density of traffic accidents in Pasadena, California","[{'type': ['event'], 'id': '0', 'keyword': 'traffic accidents'}, {'type': ['field'], 'id': '1', 'keyword': 'kernel density', 'measureLevel': 'ratio'}]","['Pasadena', 'California']","[{'before': ['0'], 'after': ['1']}]",
127,Which school neighborhoods do have the largest number of traffic accidents in Pasadena in California,"[{'type': ['event'], 'id': '0', 'keyword': 'traffic accidents'}, {'type': ['conamount'], 'id': '1', 'keyword': 'number', 'measureLevel': 'count'}, {'type': ['object'], 'id': '2', 'keyword': 'school neighborhoods'}]","['Pasadena', 'California']","[{'before': ['0'], 'after': ['1']}, {'before': ['2', '1'], 'after': ['2_u']}]",
128,Where are the hot spots of traffic accidents in Pasadena in California,"[{'type': ['event'], 'id': '0', 'keyword': 'traffic accidents'}, {'type': ['covamount'], 'id': '1', 'keyword': 'hot spots', 'measureLevel': 'loc'}, {'type': ['location'], 'id': '2', 'keyword': ''}]","['Pasadena', 'California']","[{'before': ['0'], 'after': ['1']}, {'before': ['1'], 'after': ['2']}]",
129,What areas have a wind speed of at least 5.6 meters per second in Colorado,"[{'type': ['eventquality'], 'id': '0', 'keyword': 'wind speed', 'measureLevel': 'ratio'}, {'type': ['location'], 'id': '1', 'keyword': ''}]",['Colorado'],"[{'before': ['0'], 'after': ['1']}]",
130,What areas are within 10 miles of current transmission lines with a voltage greater than 400 in Colorado,"[{'type': ['objectquality'], 'id': '0', 'keyword': 'voltage', 'measureLevel': 'ratio'}, {'type': ['object'], 'id': '1', 'keyword': 'current transmission lines'}, {'type': ['distField'], 'id': '2', 'keyword': ''}, {'type': ['location'], 'id': '3', 'keyword': ''}]",['Colorado'],"[{'before': ['1', '0'], 'after': ['1_u']}, {'before': ['1_u'], 'after': ['2']}, {'before': ['2'], 'after': ['3']}]",
131,What is the driving time from the windfarm company headquarters to the windfarm areas in Colorado,"[{'type': ['object'], 'id': '0', 'keyword': 'windfarm company headquarters'}, {'type': ['object'], 'id': '1', 'keyword': 'windfarm areas'}, {'type': ['network'], 'id': '2', 'keyword': 'driving time'}, {'type': ['network', 'object'], 'id': '3', 'keyword': 'road data'}]",['Colorado'],"[{'before': ['0', '1', '3'], 'after': ['2']}]",
132,What is the difference between breast cancer mortality rates of black women and white women for each county in the US,"[{'type': ['object'], 'id': '0', 'keyword': 'county'}, {'type': ['object'], 'id': '1', 'keyword': 'black women'}, {'type': ['object'], 'id': '2', 'keyword': 'white women'}, {'type': ['objconobjconpro'], 'id': '3', 'keyword': 'breast cancer mortality rates', 'measureLevel': 'ira'}, {'type': ['difference'], 'id': '4', 'keyword': 'difference'}]",['US'],"[{'before': ['1', '0'], 'after': ['3']}, {'before': ['2', '0'], 'after': ['3_u']}, {'before': ['3', '3_u'], 'after': ['4']}]",
133,What is the breast cancer mortality rate ratio between black women and white women for each county in the US,"[{'type': ['object'], 'id': '0', 'keyword': 'county'}, {'type': ['object'], 'id': '1', 'keyword': 'white women'}, {'type': ['object'], 'id': '2', 'keyword': 'black women'}, {'type': ['proportion'], 'id': '3', 'keyword': 'breast cancer mortality rate ratio', 'measureLevel': 'ira'}]",['US'],"[{'before': ['2', '1', '0'], 'after': ['3']}]",
