,Question,extents,upper level,timespan,Tag In Osm,Question type,ordinary1,ordinary2,ordinary3,ordinary4,ordinary5,ordinary6,ordinary7,ordinary8,ordinary9,ordinary10,ordinary103,ordinary102,ordinary11,op_type
0,How many buildings are within 3 minutes of driving time from fire stations in Oleander,Oleander,,,"building=*, highway=*",done,Data queries,Network analysis,classification,Data queries,Overlay analysis,,,,,,,,,"network analysis,classification,data queries,overlay analysis"
1,How many luxury hotels are in Happy Valley ski resort,Happy Valley ski resort,,,"tourism=hotel, stars=*",done,Data queries,,,,,,,,,,,,,
2,How many streetlights for each district in San Diego,San Diego,,,highway=street_lamp,done,Data queries,Overlay analysis,Data queries,,,,,,,,,,,"overlay analysis,data queries"
3,What are the areas within a four-minute drive of each fire station at 2 a.m. on Tuesday in Utrecht,Utrecht,,,,done,Data queries,network analysis,classification,Data queries,Overlay analysis,,,,,,,,,"network analysis,classification,data queries,overlay analysis"
4,What are the countries where literacy rates are rising or falling in Africa between 1990 and 2015,Africa ,,between 1990 and 2015,,done,Data editing,,,,,,,,,,,,,
5,What are the four fire stations with shortest network-based paths to 1202 Twin Peaks Blvd in San Francisco,San Francisco,,,"highway=*, name=Twin Peaks Boulevard, amenity=fire_station",done,Data queries,Network analysis,Data queries,,,,,,,,,,,"network analysis,data queries"
6,What are the four fire stations within 3 minutes of travel time from a fire in San Francisco,San Francisco,,,,done,Data queries,Network analysis,classification,Data queries,Overlay analysis,Data queries,,,,,,,,"network analysis,classification,data queries,overlay analysis,data queries"
7,What are the land use inside the flood zones in Oleander,Oleander,,,,done,Data queries,Overlay analysis,Data queries,,,,,,,,,,,"overlay analysis,data queries"
8,What are the median household income within 1.5 miles of library branches in Palm city,Palm city,,,amenity=library,done,Data queries,Buffer,Overlay analysis,Data editing,Data queries,,,,,,,,,"buffer,overlay analysis,data editing,data queries"
9,What are the political leaning for each county in the United States,the United States,,,,done,Data editing,classification,,,,,,,,,,,,classification
10,What are the two fire stations closest to each school in Utrecht,Utrecht,,,"amenity=fire_station, amenity=school",done,Data queries,Network analysis,Data queries,,,,,,,,,,,"network analysis,data queries"
11,What are the vegetation areas larger than 6000 square meters in the Cape Peninsula,the Cape Peninsula,,,"nature : glacier, landuse =forest, wetland=mangrove ",done,Data queries,Geometry measurement,Data queries,,,,,,,,,,,"geometry measurement,data queries"
12,What are the vote totals of an election for each precinct in Dallas,Dallas,,,,done,Data editing,Data queries,,,,,,,,,,,,data queries
13,What area are within 50 km from family physician services in Saskatchewan,Saskatchewan,Canada,,amenity=doctor,done,Data queries,Buffer,Overlay analysis,,,,,,,,,,,"buffer,overlay analysis"
14,What areas are at least 3000 meters from the rivers in Spain,Spain,,,waterway=river,done,Data queries,Buffer,Overlay analysis,,,,,,,,,,,"buffer,overlay analysis"
15,What areas are inside 1000 foot of schools in El Cajon,El Cajon,,,"amenity=school, amenity=kindergarten",done,Data queries,Buffer,Overlay analysis,,,,,,,,,,,"buffer,overlay analysis"
16,What areas are minimum 3000 meters and maximum 5000 meters from the roads in UK,UK,,,highway=*,done,Data queries,Buffer,Buffer,Overlay analysis,Overlay analysis,,,,,,,,,"buffer,buffer,overlay analysis,overlay analysis"
17,What areas are more than 5000 meters from the roads in Spain,Spain,,,,done,Data queries,Buffer,Overlay analysis,,,,,,,,,,,"buffer,overlay analysis"
18,What areas are not flood plain in Houston,Houston,,,,done,Data queries,Overlay analysis,,,,,,,,,,,,overlay analysis
19,What areas are not green belt areas in Houston,Houston,,,,done,Data queries,Overlay analysis,,,,,,,,,,,,overlay analysis
20,What areas are not park in Houston,Houston,,,leisure=park,done,Data queries,,,,,,,,,,,,,
21,What areas are not wetlands in Houston,Houston,,,natural=wetland,done,Data queries,,,,,,,,,,,,,
22,What areas are outside 150 meters from hospitals in Houston,Houston,,,amenity=hospital,done,Data queries,Buffer,Overlay analysis,,,,,,,,,,,"buffer,overlay analysis"
23,What areas are outside 150 meters from schools in Houston,Houston,,,amenity=school,done,Data queries,Buffer,Overlay analysis,,,,,,,,,,,"buffer,overlay analysis"
24,What areas are outside 155 meters from nature reserve districts in Houston,Houston,,,leisure=nature_reserve,done,Data queries,Buffer,Overlay analysis,,,,,,,,,,,"buffer,overlay analysis"
25,What areas are outside 250 meters of human settlement in the Cape Peninsula,the Cape Peninsula,,,residential=*,done,Data queries,Buffer,Overlay analysis,,,,,,,,,,,"buffer,overlay analysis"
26,What areas are outside 300 meters from streams in Houston,Houston,,,waterway=stream,done,Data queries,Buffer,Overlay analysis,,,,,,,,,,,"buffer,overlay analysis"
27,What areas are outside 3000 meters of the rivers in Spain,Spain,,,waterway=river,done,Data queries,Buffer,Overlay analysis,,,,,,,,,,,"buffer,overlay analysis"
28,What areas are outside 5 km of water bodies in Assam,Assam,India,,"landuse=aquaculture, basin, salt_pond",done,Data queries,Buffer,Overlay analysis,,,,,,,,,,,"buffer,overlay analysis"
29,What areas are outside 5000 meters of the roads in Spain,Spain,,,highway=*,done,Data queries,Buffer,Overlay analysis,,,,,,,,,,,"buffer,overlay analysis"
30,What areas are outside 60 meters from residence in Houston,Houston,,,residential=*,done,Data queries,Buffer,Overlay analysis,,,,,,,,,,,"buffer,overlay analysis"
31,What areas are outside 60 meters from water body in Houston,Houston,,,"landuse=aquaculture, basin, salt_pond",done,Data queries,Buffer,Overlay analysis,,,,,,,,,,,"buffer,overlay analysis"
32,What areas are within 10 miles of current transmission lines with a voltage greater than 400 in Colorado,Colorado,,,power=line,done,Data queries,Buffer,Overlay analysis,,,,,,,,,,,"buffer,overlay analysis"
33,"What areas are within 10 minutes, 30 minutes, and 60 minutes of driving time from private hospitals in Sichuan in China",Sichuan,China,,amenity=hospital,done,Data editing,Data queries,network analysis,classification,Data queries,Overlay analysis,Data queries,Overlay analysis,Data queries,Overlay analysis,,,,"data queries,network analysis,classification,data queries,overlay analysis,data queries,overlay analysis,data queries,overlay analysis"
34,What areas are within 100 meters of cameras in Salford,Salford,,,"man_made=surveillance, highway=speed_camera",done,Data queries,Buffer,Overlay analysis,,,,,,,,,,,"buffer,overlay analysis"
35,What areas are within 100 meters of the hospitals in Oleander,Oleander,,,amenity=hospital,done,Data queries,Buffer,Overlay analysis,,,,,,,,,,,"buffer,overlay analysis"
36,What areas are within 1000 meters of roads in Assam ,Assam,India,,highway=*,done,Data queries,Buffer,Overlay analysis,,,,,,,,,,,"buffer,overlay analysis"
37,What areas are within 1000 meters of the arcades in Oleander,Oleander,,,leisure=amusement_arcade,done,Data queries,Buffer,Overlay analysis,,,,,,,,,,,"buffer,overlay analysis"
38,What areas are within 1000 meters of the major transport routes in Amsterdam,Amsterdam,,,highway=motorway,done,Data queries,Buffer,Overlay analysis,,,,,,,,,,,"buffer,overlay analysis"
39,What areas are within 1000 meters of the schools in Oleander,Oleander,,,amenity=school,done,Data queries,Buffer,Overlay analysis,,,,,,,,,,,"buffer,overlay analysis"
40,What areas are within 15 minutes walking distance of a metro rail station in Kochi ,Kochi,India,,"highway=*,railway=station,station=subway",done,Data queries,Network analysis,classification,Data queries,Overlay analysis,,,,,,,,,"network analysis,classification,data queries,overlay analysis"
41,What areas are within 20 minutes driving time from flower stores in Oleander,Oleander,,,shop=florist,done,Data queries,Network analysis,classification,Data queries,Overlay analysis,,,,,,,,,"network analysis,classification,data queries,overlay analysis"
42,What areas are within 2000 meters of the playgrounds in Oleander,Oleander,,,leisure=playground,done,Data queries,Buffer,Overlay analysis,,,,,,,,,,,"buffer,overlay analysis"
43,What areas are within 3 minutes of driving time from the nearest fire station (from my current location) in Oleander,Oleander,,,,done,Data queries,Network analysis,Data queries,Network analysis,classification,Data queries,Overlay analysis,,,,,,,"network analysis,data queries,network analysis,classification,data queries,overlay analysis"
44,What areas are within 300 meters of runways in Schiphol airport,Schiphol airport,,,aeroway=runway,done,Data queries,Buffer,Overlay analysis,,,,,,,,,,,"buffer,overlay analysis"
45,What areas are within 500 meters from religious places in Karbala in Iraq,"Karbala, Iraq",,,landuse=religious,done,Data queries,Buffer,Overlay analysis,,,,,,,,,,,"buffer,overlay analysis"
46,What areas are within 500 meters from universities in Karbala in Iraq,"Karbala, Iraq",,,amenity=university,done,Data queries,Buffer,Overlay analysis,,,,,,,,,,,"buffer,overlay analysis"
47,"What areas are within 6 minute, 8 minute, 10 minute and 12 minute of driving time from fire stations in Utrecht",Utrecht,,,amenity=fire_station,done,Data queries,Network analysis,classification,Data queries,Overlay analysis,Data queries,Overlay analysis,Data queries,Overlay analysis,,,,,"network analysis,classification,data queries,overlay analysis,data queries,overlay analysis,data queries,overlay analysis"
48,"What areas are within 60 minutes of airports in Crook, Deschutes, and Jefferson county","Crook, Deschutes, Jefferson county",,, aeroway=*,done,Data queries,Network analysis,classification,Data queries,Overlay analysis,,,,,,,,,"network analysis,classification,data queries,overlay analysis"
49,What areas are within 800 meter from major highways in Houston,Houston,,,highway=motorway,done,Data queries,Buffer,Overlay analysis,,,,,,,,,,,"buffer,overlay analysis"
50,What areas are within a quarter mile of a restaurant in Gresham,Gresham,,,amenity=restaurant,done,Data queries,Buffer,Overlay analysis,,,,,,,,,,,"buffer,overlay analysis"
51,What areas are within a quarter mile of a store in Gresham,Gresham,,,shop=*,done,Data queries,Buffer,Overlay analysis,,,,,,,,,,,"buffer,overlay analysis"
52,What areas are within a quarter mile of light rail stop in Gresham,Gresham,,,"railway=tram_stop, light_rail",done,Data queries,Buffer,Overlay analysis,,,,,,,,,,,"buffer,overlay analysis"
53,What areas are within a quarter mile of planned commercial district in Gresham,Gresham,,,,done,Data editing,Data queries,Buffer,Overlay analysis,,,,,,,,,,"data queries,buffer,overlay analysis"
54,What areas are within one mile of main roads in Loudoun County in US,Loudoun County,US,,highway=motorway,done,Data queries,Buffer,Overlay analysis,,,,,,,,,,,"buffer,overlay analysis"
55,What areas are within two miles of urban landuse in Loudoun County in US,Loudoun County,US,,,done,Data editing,Data queries,Buffer,Overlay analysis,,,,,,,,,,"data queries,buffer,overlay analysis"
56,What areas do have altitude between 700 and 2000 meters in Spain,Spain,,,,done,Topography,classification,Data queries,Data model conversion,Overlay analysis,,,,,,,,,"classification,data queries,data model conversion,overlay analysis"
57,What areas do have population density less than 300 per square kilometer in UK,UK,,,,done,Data queries,Geometry measurement,Data editing,Data queries,,,,,,,,,,"geometry measurement,data editing,data queries"
58,What areas do have slope larger than 10 percent in Spain,Spain,,,,done,Topography,classification,Data queries,Data model conversion,Overlay analysis,,,,,,,,,"classification,data queries,data model conversion,overlay analysis"
59,What areas do have temperature in Celsius larger than 0 degrees in Spain,Spain,,,monitoring:weather=yes,done,Geostatistics  ,classification,Data queries,Data model conversion,Overlay analysis,,,,,,,,,"classification,data queries,data model conversion,overlay analysis"
60,What areas have an annual rainfall of more than 1000 millimeters in the Cape Peninsula,the Cape Peninsula,,,,done,Geostatistics  ,classification,Data queries,Data model conversion,Overlay analysis,,,,,,,,,"classification,data queries,data model conversion,overlay analysis"
61,What areas have an aspect larger than 45 degree and smaller than 135 degrees in the Cape Peninsula,the Cape Peninsula,,,,done,Topography,classification,Data queries,Data model conversion,Overlay analysis,,,,,,,,,"classification,data queries,data model conversion,overlay analysis"
62,What areas have slope larger than 15 percent and smaller than 60 percent in the Cape Peninsula,the Cape Peninsula,,,,done,Topography,classification,Data queries,Data model conversion,Overlay analysis,,,,,,,,,"classification,data queries,data model conversion,overlay analysis"
63,What buildings are within 2 minutes but not within 1 minute of driving time from a fire station in Fort Worth,Fort Worth,,,"building=*, amenity=fire_station",done,Data queries,Network analysis,classification,Data queries,Overlay analysis,Data queries,Overlay analysis,,,,,,,"network analysis,classification,data queries,overlay analysis,data queries,overlay analysis"
64,What houses are for sale and within 0.5km from the main roads in Utrecht,Utrecht,,,"highway=motorway, building=house",done,Data queries,Buffer,Overlay analysis,Data queries,,,,,,,,,,"buffer,overlay analysis,data queries"
65,What houses are for sale and within 1km from the nearest school (from my current location) in Utrecht,Utrecht,,,"amenity=school, building=house",done,network analysis,Data queries,buffer,Overlay analysis,Data queries,,,,,,,,,"data queries,buffer,overlay analysis,data queries"
66,What houses are for sale and within 1km from the nearest supermarket (from my current location) in Utrecht,Utrecht,,,"shop=*, building=house",done,network analysis,Data queries,buffer,Overlay analysis,Data queries,,,,,,,,,"data queries,buffer,overlay analysis,data queries"
67,What houses are for sale and within 1km from the parks in Utrecht,Utrecht,,,"leisure=park, building=house",done,Data queries,Buffer,Overlay analysis,Data queries,,,,,,,,,,"buffer,overlay analysis,data queries"
68,What houses are for sale in urban areas in Utrecht,Utrecht,,,"boundary=urban, building=house",done,Data queries,Overlay analysis,Data queries,,,,,,,,,,,"overlay analysis,data queries"
69,What is the area of currently mixed use zones in Gresham,Gresham,,,,done,Data editing,Data queries,,,,,,,,,,,,data queries
70,What is the aspect of ski pistes in the Happy Valley resort,the Happy Valley resort,,,,done,overlay analysis,topography,,,,,,,,,,,,topography
71,What is the average construction year of buildings for each PC4 area in Amsterdam,Amsterdam,,,"year_of_construction=*,building=*",done,Data queries,Overlay analysis,Data editing,Data queries,,,,,,,,,,"overlay analysis,data editing,data queries"
72,What is the average income of households for each PC4 area in Amsterdam,Amsterdam,,,,done,Data editing,Data queries,Overlay analysis,Data editing,Data queries,,,,,,,,,"data queries,overlay analysis,data editing,data queries"
73,What is the average rating of street pavement for each borough in New York City,New York City,,,,done,Data editing,Overlay analysis,Data editing,Data queries,,,,,,,,,,"overlay analysis,data editing,data queries"
74,What is the breast cancer mortality rate ratio between black women and white women for each county in the US,the US,,,,done,Data editing,Data queries,Data editing,,,,,,,,,,,"data queries,data editing"
75,What is the central feature of bank branches in Oleander,Oleander,,,amenity=bank,done,Data queries,Generalization,Geostatistics  ,,,,,,,,,,,"generalization,geostatistics  "
76,What is the central feature of bank branches weighted by the number of employees in Oleander city,Oleander city,,,amenity=bank,done,Data editing,Data queries,Generalization,Geostatistics  ,,,,,,,,,,"data queries,generalization,geostatistics  "
77,What is the central feature of fire station in Fort Worth,Fort Worth,,,amenity=fire_station,done,Data queries,Generalization,Geostatistics  ,,,,,,,,,,,"generalization,geostatistics  "
78,What is the cervix cancer mortality rate of white females for each city in the Western USA from 1970 to 1994,the Western USA ,,from 1970 to 1994,,done,Data editing,Data queries,,,,,,,,,,,,data queries
79,What is the crime rate for each police district in Texas in 2019,Texas,,2019,,done,data editing,Overlay analysis,Data queries,,,,,,,,,,,"overlay analysis,data queries"
80,What is the density surface of crape myrtles in Oleander,Oleander,,,,done,Data editing,Data queries,Geostatistics  ,,,,,,,,,,,"data queries,geostatistics  "
81,What is the density surface of rainfall measurements in the Netherlands,the Netherlands,,, man_made=monitoring_station,done,Data queries,Geostatistics  ,,,,,,,,,,,,geostatistics  
82,What is the density surface of temperature measurements in Oleander city,Oleander city,,, man_made=monitoring_station,done,Data queries,Geostatistics  ,,,,,,,,,,,,geostatistics  
83,What is the difference between breast cancer mortality rates of black women and white women for each county in the US,the US,,,,done,Data editing,Data queries,Overlay analysis,Data editing,,,,,,,,,,"data queries,overlay analysis,data editing"
84,What is the driving time from the windfarm company headquarters to the windfarm areas in Colorado,Colorado,,,generator:source=wind,done,data editing,Data queries,network analysis,Data queries,,,,,,,,,,"data queries,network analysis,data queries"
85,What is the Euclidean distance to green areas in Amsterdam,Amsterdam,,,,done,Data queries,Geostatistics  ,,,,,,,,,,,,geostatistics  
86,What is the Euclidean distance to hospitals in Oleander,Oleander,,,amenity=hospital,done,Data queries,Geostatistics  ,,,,,,,,,,,,geostatistics  
87,What is the Euclidean distance to recreational sites in Utrecht,Utrecht,,,landuse=recreation_ground,done,Data queries,Geostatistics  ,,,,,,,,,,,,geostatistics  
88,What is the Euclidean distance to schools in Utrecht,Utrecht,,,amenity=school,done,Data queries,Geostatistics  ,,,,,,,,,,,,geostatistics  
89,What is the Euclidean distance to subway stations in Amsterdam,Amsterdam,,,,done,Data queries,Geostatistics  ,,,,,,,,,,,,geostatistics  
90,"What is the Euclidean distance to the rivers in Crook, Deschutes, and Jefferson county","Crook, Deschutes, Jefferson county",,,,done,Data queries,Geostatistics  ,,,,,,,,,,,,geostatistics  
91,What is the Euclidean distance to tram stations in Amsterdam,Amsterdam,,,,done,Data queries,Geostatistics  ,,,,,,,,,,,,geostatistics  
92,What is the kernel density of crime in Surrey in UK,Surrey,UK,,,done,Data queries,Geostatistics  ,,,,,,,,,,,,geostatistics  
93,"What is the kernel density of traffic accidents in Pasadena, California",Pasadena,California,,,done,Data queries,Geostatistics  ,,,,,,,,,,,,geostatistics  
94,What is the land use in Netherlands,Netherlands,,,landuse=*,done,Data queries,,,,,,,,,,,,,
95,What is the land use in the Happy Valley resort,the Happy Valley resort,,,,done,Data queries,,,,,,,,,,,,,
96,What is the literacy rate for each country in Africa,Africa,,,,done,data editing,Data queries,,,,,,,,,,,,data queries
97,What is the lung cancer mortality rate of white males for each city in the Western USA from 1970 to 1994,the Western USA,, from 1970 to 1994,,done,data editing,Data queries,,,,,,,,,,,,data queries
98,What is the mean center of crimes weighted by the severity in Fort Worth,Fort Worth,,,,done,Data queries,Geostatistics  ,,,,,,,,,,,,geostatistics  
99,What is the mean center of customers weighted by the number of transactions in Oleander city,Oleander city,,,,done,Data queries,Geostatistics  ,,,,,,,,,,,,geostatistics  
100,What is the mean center of library patrons for each district in Oleander,Oleander,,,,done,Data queries,Overlay analysis,Geostatistics  ,,,,,,,,,,,"overlay analysis,geostatistics  "
101,What is the mean center of the fire calls for each alarm territory in Fort Worth in 2017,Fort Worth,,2017,,done,Data queries,Overlay analysis,Geostatistics  ,,,,,,,,,,,"overlay analysis,geostatistics  "
102,What is the mean center of the fire calls weighted by the priority in Fort Worth,Fort Worth,,,,done,Data queries,Overlay analysis,Geostatistics  ,,,,,,,,,,,"overlay analysis,geostatistics  "
103,What is the mean direction of freeways in Oleander,Oleander,,,,done,Data queries,Network analysis,,,,,,,,,,,,network analysis
104,What is the median household income for each census block in Tarrant County in Texas,Tarrant County, Texas,,,done,data editing,Overlay analysis,data editing,Data queries,,,,,,,,,,"overlay analysis,data editing,data queries"
105,What is the median people age for each census tract in Tarrant County in Texas,Tarrant County, Texas,,,done,data editing,Overlay analysis,data editing,Data queries,,,,,,,,,,"overlay analysis,data editing,data queries"
106,What liquor stores are within 1000 foot of libraries in El Cajon,El Cajon,,,"shop=alcohol, amenity=library",done,Data queries,buffer,Overlay analysis,Data queries,,,,,,,,,,"buffer,overlay analysis,data queries"
107,What liquor stores are within 1000 foot of parks in El Cajon,El Cajon,,,"shop=alcohol, leisure=park",done,Data queries,buffer,Overlay analysis,Data queries,,,,,,,,,,"buffer,overlay analysis,data queries"
108,What liquor stores are within 1000 foot of schools in El Cajon,El Cajon,,,"shop=alcohol, amenity=school",done,Data queries,buffer,Overlay analysis,Data queries,,,,,,,,,,"buffer,overlay analysis,data queries"
109,"What liquor stores are within 1000 foot of schools, libraries, and parks in El Cajon",El Cajon,,,"shop=alcohol, amenity=school,  amenity=library,  leisure=park",done,Data queries,buffer,Overlay analysis,Data queries,,,,,,,,,,"buffer,overlay analysis,data queries"
110,Where are forestry lands in Happy Valley ski resort,Happy Valley ski resort,,,Tag:landuse=forestry,done,Data queries,,,,,,,,,,,,,
111,Where are not conservation areas in UK,UK,,,landuse=conservation,done,Data queries,Geometry measurement,Data queries,,,,,,,,,,,"geometry measurement,data queries"
112,Where are not protected region in Assam ,Assam,India,,landuse=conservation,done,Data queries,Geometry measurement,Data queries,,,,,,,,,,,"geometry measurement,data queries"
113,Where are the commercial areas in Amsterdam,Amsterdam,,,landuse=commercial,done,Data queries,Geometry measurement,Data queries,,,,,,,,,,,"geometry measurement,data queries"
114,Where are the fire stations in Utrecht,Utrecht,,,amenity=fire_station,done,Data queries,Geometry measurement,Data queries,,,,,,,,,,,"geometry measurement,data queries"
115,Where are the five star hotels in the Happy Valley ski resort,the Happy Valley ski resort,,,,done,Data queries,Geometry measurement,Data queries,,,,,,,,,,,"geometry measurement,data queries"
116,Where are the Hispanic food stores in Tarrant County in Texas,Tarrant County, Texas,,cuisine=latin_american,done,Data queries,Geometry measurement,Data queries,,,,,,,,,,,"geometry measurement,data queries"
117,Where are the holiday accommodations within 1000 meters of a windsurfing spot in Italy,Italy,,,"sport=windsurfing, tourism=chalet",done,Data queries,buffer,Overlay analysis,Data queries,Geometry measurement,Data queries,,,,,,,,"buffer,overlay analysis,data queries,geometry measurement,data queries"
118,"Where are the houses within 2640 feet, 5280 feet, and 7920 feet from fire station in Oleander",Oleander,,,,done,Data queries,buffer,buffer,buffer,Overlay analysis,Overlay analysis,Overlay analysis,Geometry measurement,Data queries,Geometry measurement,Data queries,Geometry measurement,Data queries,"buffer,buffer,buffer,overlay analysis,overlay analysis,overlay analysis,geometry measurement,data queries,geometry measurement,data queries,geometry measurement,data queries"
119,Where are the industrial areas in Utrecht,Utrecht,,,landuse=industrial,done,Data queries,Geometry measurement,Data queries,,,,,,,,,,,"geometry measurement,data queries"
120,Where are the luxury hotels with more than 20 bedrooms in Happy Valley ski resort,Happy Valley ski resort,,,"beds=*, tourism=hotel",done,Data queries,Geometry measurement,Data queries,,,,,,,,,,,"geometry measurement,data queries"
121,Where are the rocky areas in Spain,Spain,,,nature : bare_rock,done,Data queries,Geometry measurement,Data queries,,,,,,,,,,,"geometry measurement,data queries"
122,Where are the ski pistes in Happy Valley ski resort,Happy Valley ski resort,,,site=piste,done,Data queries,Geometry measurement,Data queries,,,,,,,,,,,"geometry measurement,data queries"
123,Which hotels are within 0.3km of the longest ski piste in Happy Valley ski resort,Happy Valley ski resort,,,site=piste,done,Data queries,Geometry measurement,Data queries,buffer,Overlay analysis,Data queries,,,,,,,,"geometry measurement,data queries,buffer,overlay analysis,data queries"
124,Which houses are for sale in Utrecht,Utrecht,,,building=house,done,data editing,Data queries,,,,,,,,,,,,data queries
125,Which houses are within 2 minutes driving time from fire stations  (from my current location) in Oleander,Oleander,,,amenity=fire_station,done,Data queries,Network analysis,classification,Data queries,Overlay analysis,,,,,,,,,"network analysis,classification,data queries,overlay analysis"
126,Which houses are within 3 minutes driving time from the nearest fire station (from my current location) in Oleander,Oleander,,,amenity=fire_station,done,Data queries,Network analysis,Data queries,Network analysis,classification,Data queries,Overlay analysis,,,,,,,"network analysis,data queries,network analysis,classification,data queries,overlay analysis"
127,Which houses have construction year between 1990 and 2000 in Utrecht,Utrecht,,,year_of_construction=*,done,Data queries,,,,,,,,,,,,,
128,Which land use contains meteorological stations in Netherlands,Netherlands,,, man_made=monitoring_station,done,Data queries,Overlay analysis,Data queries,,,,,,,,,,,"overlay analysis,data queries"
129,Which mental health facilities are closest to each address in Washington DC,Washington DC,,,healthcare:speciality=trauma,done,Geocoding,Data queries,network analysis,Data queries,,,,,,,,,,"data queries,network analysis,data queries"
130,Which park is biggest in Utrecht,Utrecht,,,leisure=park,done,Data queries,Geometry measurement,Data queries,,,,,,,,,,,"geometry measurement,data queries"
131,Which schools are not within 3 minutes of driving time from a fire station in Fort Worth,Fort Worth,,,"amenity=fire_station, amenity=school",done,Data queries,Network analysis,classification,Data queries,Overlay analysis,data queries,,,,,,,,"network analysis,classification,data queries,overlay analysis,data queries"
132,Which shops are open at 6 pm in Happy Valley ski resort,Happy Valley ski resort,,,opening_hours=*,done,Data queries,,,,,,,,,,,,,
133,Which vacant lots are within 1 mile of a freeway in Hillsboro,Hillsboro,,,"abandoned:*=*, highway=motorway",done,Data queries,buffer,Overlay analysis,Data queries,,,,,,,,,,"buffer,overlay analysis,data queries"
134,Which visitor facilities are in the Happy Valley,the Happy Valley,,,information=visitor_centre,done,Data queries,,,,,,,,,,,,,
135,Which wind farm proposals are nearest to the roads in Scotland,Scotland,,,highway=*,done,Data queries,network analysis,Data queries,,,,,,,,,,,"network analysis,data queries"
